name,commits,lastCommit
davidb/scala-maven-plugin,1078,2023-07-24T08:08:29
aosp-mirror/platform_frameworks_base,822919,2023-08-10T08:10:41
junit-team/junit4,2507,2023-05-01T02:25:25
mongodb/mongo-java-driver,8216,2023-08-31T03:40:19
unclebob/fitnesse,6028,2023-06-26T03:21:43
connectbot/connectbot,2156,2023-09-05T12:14:55
bpellin/keepassdroid,1257,2023-08-19T04:06:00
apache/zookeeper,2510,2023-09-02T03:49:21
twitter4j/twitter4j,2483,2023-07-25T02:29:14
freenet/fred,31286,2023-01-22T02:17:51
apache/cassandra,29134,2023-09-05T06:05:37
apache/camel,66624,2023-09-05T05:15:32
apache/hive,16936,2023-09-05T04:56:59
voldemort/voldemort,4263,2023-07-24T01:49:47
apache/maven,11913,2023-09-05T10:20:22
apache/nutch,3370,2023-08-30T07:02:39
apache/commons-lang,7375,2023-09-01T06:03:35
apache/activemq,11474,2023-08-30T02:29:30
apache/avro,3889,2023-09-05T07:14:26
jdbi/jdbi,5370,2023-09-05T05:11:18
apache/tika,7661,2023-09-05T08:29:00
apache/poi,12691,2023-09-04T02:57:03
apache/httpcomponents-client,3465,2023-08-31T02:55:37
apache/mina,2409,2023-04-30T03:48:25
apache/commons-io,4317,2023-09-01T03:12:23
apache/pig,3724,2023-07-15T08:46:35
caelum/caelum-stella,1450,2023-01-28T02:08:02
apache/wicket,21383,2023-08-29T05:10:38
jblas-project/jblas,441,2023-03-24T05:29:55
apache/commons-collections,3971,2023-09-01T02:58:35
qos-ch/logback,4451,2023-08-12T01:51:03
qos-ch/slf4j,2078,2023-09-03T09:03:40
apache/shiro,2873,2023-09-04T07:34:39
haraldk/twelvemonkeys,1679,2023-09-05T11:54:23
fusesource/jansi,482,2023-08-25T03:04:00
liferay/liferay-portal,743812,2023-08-21T10:09:36
sirthias/parboiled,866,2023-09-05T11:24:18
apache/pdfbox,11434,2023-09-03T03:40:23
jhy/jsoup,1829,2023-06-06T11:08:39
jberkel/sms-backup-plus,1772,2022-12-25T10:58:03
ervandew/eclim,4906,2022-12-10T02:44:42
elastic/elasticsearch,71735,2023-09-06T12:00:48
antlr/antlr4,9316,2023-09-05T05:14:31
tootallnate/java-websocket,1136,2023-07-31T12:54:47
awaitility/awaitility,751,2022-10-19T09:32:05
antlr/stringtemplate4,1005,2022-12-03T05:56:10
dropwizard/metrics,3542,2023-09-06T01:31:25
hierynomus/sshj,1015,2023-09-04T09:23:01
cowtowncoder/java-uuid-generator,213,2023-08-25T04:45:35
flyingsaucerproject/flyingsaucer,2867,2023-09-05T12:24:16
jenkinsci/git-plugin,5155,2023-09-02T04:48:37
graylog2/graylog2-server,22789,2023-09-05T02:29:08
apache/jmeter,18103,2023-09-06T01:14:02
apache/mina-sshd,2723,2023-09-02T05:22:11
clojure/clojure,3465,2023-08-29T10:18:30
cbeust/testng,5236,2023-04-06T08:32:10
atmosphere/atmosphere,6088,2023-04-17T01:39:00
wildfly/wildfly,37855,2023-09-01T06:08:34
cbeust/jcommander,1030,2023-08-29T05:43:14
rhuss/jolokia,1812,2023-02-14T01:50:28
mixpanel/mixpanel-android,2117,2023-06-15T12:29:57
apache/karaf,9396,2023-09-05T08:52:47
square/retrofit,2082,2023-09-04T02:35:40
scribejava/scribejava,1261,2023-06-22T12:25:55
robolectric/robolectric,13226,2023-09-04T10:48:58
arduino/arduino,7375,2022-10-29T07:36:22
rabbitmq/rabbitmq-tutorials,1155,2023-08-22T06:27:34
rabbitmq/rabbitmq-java-client,5285,2023-09-05T06:06:03
dcm4che/dcm4che,3289,2023-09-05T11:20:38
hibernate/hibernate-orm,17012,2023-09-05T07:49:32
enginehub/worldedit,4035,2023-09-03T09:01:26
kiegroup/jbpm,4277,2023-08-31T05:27:30
lemire/javaewah,723,2023-08-28T06:12:47
pholser/junit-quickcheck,1162,2023-09-05T01:27:06
hibernate/hibernate-validator,4375,2023-09-05T08:09:47
rest-assured/rest-assured,2234,2023-09-05T08:46:02
modelmapper/modelmapper,727,2023-07-12T02:13:43
samskivert/jmustache,340,2023-07-19T08:12:38
jhalterman/expiringmap,157,2023-07-07T05:42:07
jhalterman/typetools,202,2023-04-12T01:45:14
netty/netty,11247,2023-09-05T06:43:28
plantuml/plantuml,1313,2023-08-28T05:14:15
infinispan/infinispan,15691,2023-09-05T02:56:16
infinitest/infinitest,561,2023-07-14T07:03:02
jpos/jpos,5215,2023-08-18T11:55:03
spring-projects/spring-data-jpa,2017,2023-09-05T01:51:58
spring-projects/spring-batch,6268,2023-08-31T09:30:59
spring-projects/spring-amqp,2315,2023-09-01T07:37:29
spring-projects/spring-data-commons,2828,2023-09-05T06:25:22
qcadoo/mes,16383,2023-09-01T10:37:25
jenkinsci/jenkins,34167,2023-09-05T12:43:42
enginehub/worldguard,2127,2023-08-20T09:06:36
spring-projects/spring-framework,27873,2023-09-05T03:18:02
rstudio/rstudio,41055,2023-09-05T11:13:57
validator/validator,4219,2023-08-23T08:43:21
spockframework/spock,3001,2023-08-28T10:30:06
ocpsoft/prettytime,451,2023-06-23T04:30:14
spring-projects/spring-retry,377,2023-08-30T05:05:08
webbukkit/dynmap,3174,2023-09-03T02:11:47
fasterxml/jackson-dataformat-xml,1486,2023-09-05T12:14:49
sonarsource/sonarqube,35022,2023-09-05T08:02:53
restexpress/restexpress,947,2022-10-21T10:06:04
osmandapp/osmand,86331,2023-09-05T02:14:11
webbit/webbit,770,2023-06-07T06:57:32
matyb/java-koans,421,2023-02-11T06:32:26
dropwizard/dropwizard,7946,2023-09-01T01:47:53
json-path/jsonpath,955,2023-03-26T11:58:15
plantuml/plantuml-server,456,2023-07-19T09:08:13
gresrun/jesque,577,2022-12-30T10:17:32
jnr/jnr-ffi,1209,2023-06-06T08:34:01
structr/structr,14916,2023-09-04T07:08:55
git-commit-id/git-commit-id-maven-plugin,1328,2023-09-04T06:48:18
kiegroup/drools,16960,2023-09-04T01:57:02
kiegroup/optaplanner,8924,2023-09-05T10:07:23
slapperwan/gh4a,3037,2023-05-29T07:30:47
jbellis/jamm,188,2023-07-20T09:58:38
carrotsearch/hppc,659,2023-08-01T10:31:10
movingblocks/terasology,11930,2023-09-03T09:02:19
asynchttpclient/async-http-client,4150,2023-09-04T03:19:12
sqlcipher/android-database-sqlcipher,615,2023-08-31T08:35:22
loopj/android-smart-image-view,25,2023-08-03T04:39:36
xwiki/xwiki-platform,47630,2023-09-05T03:35:16
spring-projects/spring-amqp-samples,208,2023-08-21T10:53:07
indy256/codelibrary,1449,2023-08-06T10:37:44
jorensix/tarsosdsp,313,2023-01-20T01:56:06
archimatetool/archi,2744,2023-08-31T10:28:46
apache/bookkeeper,3227,2023-09-01T05:20:10
kong/unirest-java,1889,2023-08-13T02:47:38
java-native-access/jna,4096,2023-09-01T07:27:01
jodaorg/joda-money,381,2022-12-06T08:29:37
jodaorg/joda-time,2270,2023-08-29T08:03:41
mvel/mvel,3143,2023-08-23T07:32:59
